beneficiary_id,full_name,id_number,mobile,email_address,date_of_birth,gender,county,sub_county,ward,postal_address,registration_date,status,training_center,training_area,skill_category,training_status,completion_status
VOC-000692,FLORENCE KHAEMBA,26844326,+25474935333,florence.khaemba@outlook.com,1992-10-14,M,Nyeri,Mathira,Magutu,"House 467, River Road Drive, Kangundo",12/04/2023,ACTIVE,Kilifi Institute,Tailoring,Hospitality,In Progress,Certified
VOC-000693,SHARON SENTEU,30338272,+25472642480,Sharon.senteu@gmail.com,1997-12-09,M,Meru,Central Imenti,Kathonzweni,"Plot 329, Lane 17, Ruaraka",06/09/2023,ACTIVE,Machakos Technical Institute,Welding,Technical,In Progress,Certified
VOC-000694,MICHAEL MWAKISA,77368102,+25473149697,Michael.mwakisha@yahoo.com,1951-11-05,F,Kiambu,Limuru,Limuru Central,"Plot 31, Lane 18, Juja",02-02-2023,ACTIVE,Kisumu Youth Skills Centre,Tailoring,Technical,Dropped Out,Certified
VOC-000695,WAMBUI MAIGNI,61617675,+25473678548,Wambui.maingi@yahoo.com,1953-12-12,M,Kisumu,Muhoroni,Muhoroni/Koru,"Plot 410, Lane 13, Thika Superhighway",01/12/2023,ACTIVE,Eldoret Polytechnic,Carpentry,Digital,In Progress,Ongoing
VOC-000696,MONICA KEVIN WEKESA,31744118,+25473397228,monica.wekesa@gmail.com,1990-03-18,F,Uasin Gishu,Ainabkoi,Kapsoya,"House 231, River Road Street, Kenyatta",12 Mar 2025,ACTIVE,Eldoret Polytechnic,Tailoring,Artisan,Completed,Not Started
VOC-000697,"KOSGEI, MOMANYI MBAKA",77626740,+25410749449,Momanyi.kosgei@yahoo.com,1988-12-18,F,Machakos,Machakos Town,Mutituni,"House 222, Kiambu Road Road, Mugumo",26-Jun-23,INACTIVE,Kitale Technical College,Tailoring,Technical,Dropped Out,Completed
VOC-000698,RWERIA KIVAUVA,86520791,+25479337809,Rweria.kivuva@yahoo.com,1990-09-28,M,Nairobi,Dagoretti South,Waithaka,"House 179, Lenana Road, Kileleshwa",2025-03-06,ACTIVE,Kitale Technical College,Masonry,Digital,Enrolled,Completed
VOC-000699,MUKAMI JEBET,27697461,+25476470776,Mukami.jebet@hotmail.com,1999-02-14,M,Nakuru,Nakuru Town West,Kapkures,"House 349, Uhuru Road, Kikuyu",12/05/2024,INACTIVE,Bomet Youth Polytechnic,ICT,Digital,Enrolled,Completed
VOC-000700,CECILIA MWENDWA,50292372,25478983577,cecilia.mwendwa@hotmail.com,1989-09-14,M,Mombasa,Kisauni,Mtopanga,"Plot 26, Lane 20, Lavington",05/24/2023,INACTIVE,Machakos Technical Institute,Electrical,Technical,In Progress,Certified
VOC-000701,NICHOLAS KARIUKI,84500200,+25472229221,Nicholas.kariuki@gmail.com,1975-09-03,F,Nakuru,Kuresoi North,Nyota,"House 147, Kiambu Road Avenue, Athi River",07 Oct 2024,INACTIVE,Bomet Youth Polytechnic,Catering,Technical,Dropped Out,Not Started
VOC-000702,REBECCA LESHHAN,11692090,+25470923804,Rebecca.leshan@hotmail.com,1994-04-23,F,Kiambu,Kabete,Nyathuna,"House 292, Kiambu Avenue, Kikuyu",05/30/2025,ACTIVE,Nairobi Vocational Training Centre,Catering,Artisan,In Progress,Ongoing
VOC-000703,WABOMBA MERCY MWIKALI,99667571,+25411751347,Wabomba.mwikali@yahoo.com,1970-03-14,M,Bungoma,Sirisia,Lwandanyi,"Plot 162, Lane 11, Ngong Road",14/05/2025,ACTIVE,Kilifi Institute,Metalwork,Digital,Enrolled,Not Started
VOC-000704,ISAAC ODUYA ONSONGO,83608832,+25410354063,isaac.onsongo@outlook.com,1982-05-27,F,Kiambu,Kikuyu,Kinoo,"Plot 151, Lane 13, Kikuyu",20231228,ACTIVE,Mombasa Technical Institute,Masonry,Digital,In Progress,Ongoing
VOC-000705,ANN LEAH AWINO,21410295,+25477171388,Awinoann@gmail.com,24 Oct 1978,F,Kiambu,Limuru,Ndeiya,Plot 185 Lane 10 Kasarani,2025-12-08,Inactive,Kakamega Youth Polytechnic,Catering,ARTISAN,Dropped Out,Ongoing
VOC-000706,NASERIAN WAMBUGU MUEMA,11630877,+25473782316,Naserian.muema@yahoo.com,1981-04-05,M,Kakamega,Mumias West,West Wanga,"House 115, Kenyatta Avenue, Ngong",12/02/2025,ACTIVE,Kitale Technical College,Plumbing,Hospitality,In Progress,Completed
VOC-000707,NYAMBANE KIPROTICH,63690535,+25475905598,kiprotich.nyambane@gmail.com,1970-08-18,F,Uasin Gishu,Ainabkoi,Kaptagat,"House 151, Ngong Avenue, Kiambu Road",22/02/2024,ACTIVE,Nakuru Industrial Training Centre,Hairdressing,Hospitality,In Progress,Completed
VOC-000708,JONAH MUTINDA,60172721,+25479753211,jonah.mutinda@yahoo.com,1976-05-07,F,Kisumu,Kisumu Central,Nyalenda 'B',"Plot 91, Lane 2, Ruiru",04-05-2023,INACTIVE,Kilifi Institute,ICT,Digital,Dropped Out,Not Started
VOC-000709,JANET BENJAMIN AUMA,87241350,+25475310888,janet.auma@gmail.com,1985-08-24,M,Bomet,Chepalungu,Nyongores,"Plot 480, Lane 8, Kiambu Road",04/05/2023,ACTIVE,Nairobi Vocational Training Centre,Catering,Technical,In Progress,Completed
VOC-000710,MUMO SHARON MWOROA,13306687,+25475130750,mumo@gmail.com,05/04/1996,female,Bungoma County,Sirisia,Malakisi/South Kulisiru,"Plot 283, Lane 19, Kangundo",19 Sep 2023,Active,Machakos Technical Institute,Hairdressing,ARTISAN,Dropped Out,Not Started
VOC-000711,JOHN KIPROTICH MUKHWANA,52137942,+25473856603,NA,28 Mar 1990,M,N/A,Matungulu,N/A,"plot 288, lane 7, kitisuru",23 Mar 2024,Active,Kitale Technical College,Automotive,DIGITAL,Dropped Out,Certified
VOC-000712,AGNES MUTHAA KIPCHIRCHIR,43739900,+25476837435,Agnes.kipchirchir@gmail.com,1957-05-03,M,Kisumu,Kisumu West,North Kisumu,"House 280, River Road Road, Kilimani",12 May 2024,ACTIVE,Kakamega Youth Polytechnic,ICT,Digital,In Progress,Completed
VOC-000713,EZEKIEL MWAGNI,96244314,+25474775133,Ezekiel.mwangi@hotmail.com,1991-11-21,M,Kakamega,Matungu,Kholera,"Plot 464, Lane 5, Karen",2025-03-07,INACTIVE,Meru Vocational Centre,Tailoring,Artisan,Dropped Out,Not Started
VOC-000714,JEBIWOTT LILIAN SAIDIMU,35907091,+25411643852,jebiwott.saidimu@gmail.com,1990-02-06,M,Nyeri,Mathira,Konyu,"Plot 49, Lane 6, Thika",30/01/2025,ACTIVE,Thika Technical Training Institute,Catering,Technical,In Progress,Certified
VOC-000715,NANJALA OJWANJ,84189838,+25410469591,nanjala.ojwang@yahoo.com,1961-07-06,M,Kakamega,Mumias West,Mutema,"House 214, Moi Avenue Street, Ruaraka",07/11/2024,ACTIVE,Mombasa Technical Institute,Metalwork,Hospitality,In Progress,Completed
VOC-000716,LEAH OJWANG,66796333,+25411490931,Leahojwang@yahoo.com,1971-01-04,Female,Nakuru County,Kuresoi South,Tinet,"House 471, Karen Rd, Ruiru",2023-04-02,I,Kisumu Youth Skills Centre,Graphics Design,ARTISAN,Dropped Out,Completed
VOC-000717,BRENDA OSEBE,41727657,+25477386721,Brenda.osebe@gmail.com,1980-07-17,M,Nakuru,Rongai,Solai,"House 81, Lavington Road, River Road",15-02-2023,ACTIVE,Nakuru Industrial Training Centre,ICT,Artisan,Completed,Ongoing
VOC-000718,KIMANI KIPCHRICHIR,38437423,+25473672967,kimani.kipchirchir@yahoo.com,1989-12-05,F,Machakos County,Kangundo,Kangundo North,"Plot 23, Lane 2, Thika Superhighway",19-03-2025,ACTIVE,Nairobi Vocational Training Centre,Masonry,Technical,Enrolled,Certified
VOC-000719,PETER KEBASO,88105918,+25477783263,Peter.kebaso@gmail.com,1996-09-03,M,N/A,Kibra,Woodley,"House 445, Argwings Kodhek Drive, Kikuyu",2025-12-09,ACTIVE,N/A,Tailoring,Technical,Dropped Out,Ongoing
VOC-000720,HAGGAI MUNYORI,36869304,+25473930569,haggai.munyori@outlook.com,1980-07-18,F,BUNGOMA,Webuye East,Mihuu,"House 303, Outering Avenue, Jogoo",03-Sep-2023,INACTIVE,Meru Vocational Centre,Plumbing,Hospitality,Dropped Out,Ongoing
VOC-000721,SIMIYU MATTHEW,84826135,+25475287762,Matthew.simiyu@yahoo.com,1991-05-21,F,Mombasa,Mvita,Majengo,"Plot 108, Lane 3, Ngong Road",2024-02-11,INACTIVE,Not Provided,Catering,Digital,Dropped Out,Completed
VOC-000722,PETER MUNGAI,20012982,0119-852-40,Peter.mungai@gmail.com,1998-03-05,F,Kakamega,Khwisero,Kisa Central,"Plot 216, Lane 10, Limuru",20230914,ACTIVE,Kitale Technical College,Metalwork,Technical,Completed,Not Started
VOC-000723,NICHOLAS JEBIWOTT SIMIYU,82935310,+25477854483,nicholas.simiyu@gmail.com,1984-11-01,M,Bungoma,NA,NA,N/A,10-01-2025,INACTIVE,Kitale Technical College,Metalwork,Artisan,Enrolled,Ongoing
VOC-000724,CHARITY MUINYAO,43197634,+25472309980,charity.munyao@outlook.com,Not Provided,M,Mombasa,Likoni,Likoni,"Plot 323, Lane 6, Limuru",N/A,ACTIVE,NA,Metalwork,Artisan,Enrolled,Certified
VOC-000725,LOIS OKALLO,55925432,+254 763 884 72,Lois.okello@hotmail.com,1974-03-09,M,Kilifi,Rabai,Ruruma,"Plot 471, Lane 11, Limuru",2024-01-02,INACTIVE,Meru Vocational Centre,Tailoring,Artisan,In Progress,Completed
VOC-000726,KIPKIRUI OTIENO MURIUKI,56734629,+25475874825,Kipkiruimuriuki@gmail.com,21-Oct-1997,FEMALE,Nairobi,Kasarani,Kamulu,"House 5, Langata Drive, Athi River",30/07/2024,active,Mombasa Technical Institute,Electrical,ARTISAN,Completed,Certified
VOC-000727,MWOROA NGENO,22404243,+25411500774,NA,1990-11-07,M,NA,Kwanza,Kapomboi,"Plot 397, Lane 6, Thika Superhighway",2023-12-27,ACTIVE,Thika Technical Training Institute,Masonry,Artisan,Dropped Out,Certified
VOC-000728,MUTUA GITHINJI MUSALIA,99290821,+25410688186,Mutua68@yahoo.com,05-Feb-01,Female,Bungoma,Sirisia,Malakisi/South Kulisiru,"House 295, Ngong Road Avenue, Argwings Kodhek",12-04-2024,ACTIVE,Kisumu Youth Skills Centre,ICT,ARTISAN,Completed,Completed
VOC-000729,WAIRIMU MWANNGI,17000794,+25411206294,Wairimu.mwangi@yahoo.com,1953-07-21,M,Kilifi,Malindi,Shella,"Plot 385, Lane 9, Kiambu",11/17/2023,INACTIVE,Mombasa Technical Institute,Tailoring,Technical,Enrolled,Certified
VOC-000730,RWERIA KIPSANG MAINA,90102255,+25476750566,Rweria.maina@yahoo.com,10/12/1977,Male,Nairobi,Dagoretti South,Uthiru,"Plot 341, Ln 5, Westlands",2025-06-29,I,Kisumu Youth Skills Centre,Graphics Design,HOSPITALITY,Dropped Out,Not Started
VOC-000731,FLORENCE KASINA KIPROTICH,23306584,+25476465917,Florence.kiprotich@gmail.com,1957-12-07,M,Mombasa,Nyali,Kongowea,"Plot 186, Lane 14, Thika Superhighway",2024-12-31,ACTIVE,Thika Technical Training Institute,Carpentry,Artisan,Enrolled,Completed
VOC-000732,ONGERI BARASA,79521092,+25474822893,ongeri.barasa@gmail.com,1988-09-14,female,Kiambu,Ruiru,Kiuu,"Plot 307, Ln 14, Parklands",10/10/2024,active,Kakamega Youth Polytechnic,Automotive,HOSPITALITY,Completed,Certified
VOC-000733,HANNAH KINYUA,39167155,+25476708487,hannah.kinyua@yahoo.com,1964-02-13,F,Mombasa,Mvita,Shimanzi,"House 318, Lenana Road, Argwings Kodhek",14/10/2024,ACTIVE,Machakos Technical Institute,Automotive,Artisan,In Progress,Ongoing
VOC-000734,ONSONGO LYDIA KIHIKA,74145640,+25476377890,onsongo.kihika@gmail.com,N/A,F,Nakuru,Not Provided,Turi,"House 239, Juja Drive, Tom Mboya",10-Nov-24,INACTIVE,NA,Plumbing,Technical,Dropped Out,Not Started
VOC-000735,WAIRIMU ACHIENG MBAKA,84833535,+25476732295,wairimu.mbaka@outlook.com,1974-11-15,F,Nakuru,Kuresoi North,Nyota,"Plot 281, Lane 12, Jogoo",2024-05-03,ACTIVE,Thika Technical Training Institute,Plumbing,Artisan,Dropped Out,Not Started
VOC-000736,HAGGAI MBAAKA,80422146,+254 771 393 41,haggai.mbaka@yahoo.com,1983-02-24,F,Bomet,Bomet Central,Mutarakwa,"Plot 214, Lane 10, Ruiru",05/07/2024,ACTIVE,Kilifi Institute,Metalwork,Technical,Enrolled,Ongoing
VOC-000737,JOSHUA MWIIRIGI,55349246,+25470704876,Joshua.mwirigi@outlook.com,1998-08-21,M,Nakuru,Kuresoi North,Kamara,"House 447, Thika Road, Ruiru",03/09/2024,INACTIVE,Nairobi Vocational Training Centre,Automotive,Digital,Completed,Ongoing
VOC-000738,KIMANI KAGWIRIA OMONDI,50545587,+25477251670,kimani45@hotmail.com,19741102,female,Nyeri,Nyeri Town,Kiganjo/Mathari,Not Provided,20-Dec-2024,pending,Kitale Technical College,Plumbing,TECHNICAL,Enrolled,Not Started
VOC-000739,NANJALA NAPEA,66772359,+25479341392,Nanjala.nabea@gmail.com,1970-08-21,F,Nairobi,Lang'ata,Mugumu-ini,"Plot 354, Lane 19, Uhuru",2025-05-24,INACTIVE,Thika Technical Training Institute,Plumbing,Technical,Dropped Out,Ongoing
VOC-000740,JONAH WACHIRA,85643715,+25472245918,Jonah.wachira@gmail.com,1992-12-07,M,Uasin Gishu,Soy,Kapkures,"House 33, Argwings Kodhek Road, Lavington",17-11-2025,INACTIVE,Mombasa Technical Institute,Catering,Technical,Completed,Completed
VOC-000741,WANYONYI MWAMBURI,75224158,+25410435754,wanyonyi.mwamburi@gmail.com,1985-01-23,M,Nairobi,Westlands,Kitisuru,"Plot 445, Lane 7, Tom Mboya",07-May-23,INACTIVE,Nakuru Industrial Training Centre,Welding,Hospitality,Enrolled,Completed
VOC-000742,KIPROP MUKHWANA KIPSANG,97 112 459,+25477873199,Kiprop.kipsang@hotmail.com,2000-04-25,M,Meru,Tigania West,Kianjai,"House 258, Argwings Kodhek Avenue, Jogoo",07-08-2024,INACTIVE,Meru Vocational Centre,Masonry,Technical,Dropped Out,Completed
VOC-000743,CECILIA NAMUKHULA,12169801,+25472233037,cecilia.namukhula@hotmail.com,NA,F,Machakos,Mavoko,Syokimau/Mulolongo,N/A,2024-10-31,ACTIVE,NA,Electrical,Digital,Completed,Certified
VOC-000744,MOKUA GIKNYO,13727541,+25477369426,Mokua.gikonyo@yahoo.com,1956-07-17,M,KIAMBU,Ruiru,Kiuu,"Plot 470, Lane 4, Lavington",20240710,INACTIVE,Kitale Technical College,ICT,Technical,In Progress,Not Started
VOC-000745,MUKHWANA WAFULA,36738225,+25477550726,mukhwana.wafula@hotmail.com,1973-10-04,M,Meru,Central Imenti,Kathonzweni,"House 297, Ngong Road Drive, Athi River",2024-05-29,INACTIVE,Kilifi Institute,Plumbing,Hospitality,Enrolled,Ongoing
VOC-000746,SAMUEL J. MOHAMED,72373944,+25477536305,Samuel.mohamed@hotmail.com,NA,F,Kakamega,Not Provided,Mautuma,"Plot 291, Lane 4, Lavington",Not Provided,INACTIVE,Kisumu Youth Skills Centre,Masonry,Hospitality,Enrolled,Ongoing
VOC-000747,DOROTHY OGEO,32417070,+25471963862,Dorothy.ogero@gmail.com,1966-09-20,M,Kisumu,N/A,Central Seme,"House 184, Ngong Road Street, Ruaraka",01-Aug-24,ACTIVE,Kilifi Institute,Plumbing,Artisan,Enrolled,Ongoing
VOC-000748,FAITH STEPHEN KIPKEMBOI,99548878,+25471756164,faith.kipkemboi@gmail.com,1992-08-09,F,Trans Nzoia,Kiminini,Sirende,"Plot 301, Lane 20, Langata",2024-02-17,INACTIVE,Kisumu Youth Skills Centre,Graphics Design,Technical,Dropped Out,Certified
VOC-000749,KEBASO OMAR,72002380,+25471639424,kebaso.omar@hotmail.com,2003-03-18,F,Nyeri,Tetu,Dedan Kimathi,"Plot 188, Lane 8, Outering",11-08-2024,INACTIVE,Mombasa Technical Institute,Electrical,Artisan,Enrolled,Not Started
VOC-000750,RACHEL ROTIC,73884512,+25411201420,rachel.rotich@gmail.com,1986-03-24,M,Uasin Gishu,Kapseret,Megun,"House 333, Thika Road, Waiyaki",2025-01-07,INACTIVE,Kakamega Youth Polytechnic,Graphics Design,Digital,Dropped Out,Ongoing
VOC-000751,HOPE  NAMUKHULA  GICHURU, 62904575,+25475719014,hope.gichuru@hotmail.com,1994-01-03,M,Mombasa,Mvita,Shimanzi,"House 305, Athi River Avenue, Jogoo",21-Sep-2025,ACTIVE,Kakamega Youth Polytechnic,Graphics Design,Artisan,In Progress,Not Started
VOC-000752,JEPKORIR KORROSS,4619-3334,+25473559030,Jepkorir43@outlook.com,01-Mar-1970,female,Kiambu,Kiambu,Riabai,"Plot 215, Lane 19, Mugumo",01/09/2025,inactive,Machakos Technical Institute,Hairdressing,HOSPITALITY,Enrolled,Not Started
VOC-000753,ALICE OCHIENG,79467412,+25470815182,alice.ochieng@hotmail.com,1977-06-26,F,Kakamega,Khwisero,Kisa East,"Plot 6, Lane 10, Waiyaki",28 Feb 2025,INACTIVE,Nairobi Vocational Training Centre,Plumbing,Hospitality,Completed,Certified
VOC-000754,GAKII FLORENCE KAIMENYI,60-857-535,+25478640123,Gakii.kaimenyi@outlook.com,1971-09-11,F,Bungoma,Sirisia,Namwela,"Plot 182, Lane 12, Waiyaki",24 Dec 2024,NA,Eldoret Polytechnic,Electrical,Technical,Dropped Out,Ongoing
VOC-000755,FAITH JUDITH BAYA,78812902,+25473824069,Faith.baya@gmail.com,1997-09-19,M,Uasin Gishu,Kapseret,Megun,"Plot 57, Lane 19, Ruaraka",2025-02-03,INACTIVE,Eldoret Polytechnic,Graphics Design,Technical,Completed,Certified
VOC-000756,SAMUEL MWIKALI OJWANG,70980810,+25411307498,S.ojwang@yahoo.com,17-Jun-1986,FEMALE,Machakos,Kangundo,Kangundo North,"Plot 353, Ln 7, Uhuru",07/23/2025,Active,Nakuru Industrial Training Centre,Metalwork,TECHNICAL,Enrolled,Completed
VOC-000757,ADOYO OPIYEO,91222606,+25476738566,adoyo.opiyo@outlook.com,1961-12-18,F,Kiambu County,Kikuyu,Sigona,"Plot 337, Lane 8, Kilimani",2025-08-08,ACTIVE,Mombasa Technical Institute,ICT,Artisan,Dropped Out,Completed
VOC-000758,MATTHEW MAINA MAINGI,27148566,0751.122.50,matthew.maingi@gmail.com,1998-11-17,F,Kakamega,Lugari,Chekalini,"Plot 153, Lane 16, Langata",2023-01-28,ACTIVE,Eldoret Polytechnic,Plumbing,Digital,Enrolled,Not Started
VOC-000759,SAMUEL AKINYI,95121229,+25479211099,samuel.akinyi@hotmail.com,1993-03-10,F,Kiambu,Kiambu,Kihara,"Plot 280, Lane 11, Ruaraka",20241127,ACTIVE,Machakos Technical Institute,Hairdressing,Technical,In Progress,Completed
VOC-000760,AGNES LUBANGA,23136524,+25471546707,agnes.lubanga@gmail.com,1997-10-27,F,Meru,Central Imenti,Kathonzweni,"Plot 37, Lane 15, Lenana",11/11/2025,INACTIVE,Eldoret Polytechnic,Electrical,Digital,In Progress,Not Started
VOC-000761,SAMUEL ANNA AWITI,57726845,+25411433754,samuel.awiti@gmail.com,1989-05-04,F,Uasin Gishu,Ainabkoi,Racecourse,"House 276, Ruaraka Street, Kikuyu",10/09/2025,INACTIVE,Nairobi Vocational Training Centre,Electrical,Hospitality,In Progress,Not Started
VOC-000762,BARNABAS JEPKORIR,17429594,+25479440623,Barnabas.jepkorir@outlook.com,1962-10-07,M,Kiambu,Kikuyu,Kinoo,"Plot 17, Lane 3, Lenana",2025-09-29,ACTIVE,Eldoret Polytechnic,Carpentry,Digital,Completed,Ongoing
VOC-000763,KIPKEMBOI ALI,42854392,254 751 378 75,Kipkemboi.ali@gmail.com,1997-04-21,F,Machakos,Mavoko,Kinanie,"Plot 153, Lane 15, Westlands",13-Feb-2024,ACTIVE,Machakos Technical Institute,Automotive,Technical,Dropped Out,Ongoing
VOC-000764,KIPCHIRCHIR KATHURE OTIENO,85251775,N/A,Kipchirchir.otieno@hotmail.com,1995-02-21,F,NA,Cherangany,Kaplamai,"Plot 405, Lane 6, Moi Avenue",28-06-2024,ACTIVE,Not Provided,Catering,Digital,Completed,Ongoing
VOC-000765,NAIPANOI MBAAKA,40269419,+25411494542,naipanoi.mbaka@gmail.com,1952-12-14,M,Meru,North Imenti,Nkubu,"House 294, Garden Estate Street, Lenana",11/02/2023,INACTIVE,Thika Technical Training Institute,Welding,Technical,In Progress,Certified
VOC-000766,NAFULA JEPKOECH,40954066,N/A,N/A,1990-08-14,M,Kilifi,Kilifi South,Shimo la Tewa,"Plot 260, Lane 10, Moi Avenue",2024-12-05,ACTIVE,Bomet Youth Polytechnic,Catering,Digital,Completed,Certified
VOC-000767,JUDITH KERUBO WANDERA,71151032,+25478647933,Judith.wandera@gmail.com,1984-12-13,F,Uasin Gishu,Soy,Kapkures,"Plot 459, Lane 15, Kenyatta",2023-07-03,INACTIVE,Machakos Technical Institute,Tailoring,Technical,Completed,Completed
VOC-000768,KIPKORIR M. WACHIRA,53699242,N/A,k.w@yahoo.com,1947-12-06,F,Kiambu,Kabete,Not Provided,"Plot 270, Lane 10, Moi Avenue",20/05/2023,INACTIVE,Kakamega Youth Polytechnic,Welding,Digital,Dropped Out,Ongoing
VOC-000769,SHARON NYABOKE ADOYO,17228318,+25411818423,sharon.adoyo@gmail.com,1955-05-09,M,Meru,South Imenti,Abogeta East,"Plot 363, Lane 17, Kilimani",10/04/2025,INACTIVE,Nakuru Industrial Training Centre,Graphics Design,Technical,Completed,Completed
VOC-000770,ADOYO SENTEU,66823841,+25410963818,adoyo.senteu@gmail.com,1996-07-01,F,Bungoma,Kabuchai,Bwake/Luuya,"House 286, Kasarani Avenue, Kangundo",16 Jan 2023,ACTIVE,Machakos Technical Institute,Welding,Digital,In Progress,Ongoing
VOC-000771,OJWANG MUTHAA MICAH,36003419,+25470427272,Muthaa.ojwang@hotmail.com,2005-12-24,M,Meru,IgembeCentral,Athiru Gaiti,"Plot 40, Lane 5, Uhuru",26-Jan-2025,ACTIVE,Nakuru Industrial Training Centre,Hairdressing,Artisan,Dropped Out,Not Started
VOC-000772,DANIEL JOEPKORIR,31654325,+25477228705,daniel.jepkorir@yahoo.com,1998-10-18,M,Nakuru,Kuresoi South,Amalo,"House 231, Uhuru Drive, Tom Mboya",2024-06-22,ACTIVE,Bomet Youth Polytechnic,Catering,Technical,Dropped Out,Completed
VOC-000773,EZEKIEL STEPHEN KANAMPIU,NA,+25471498281,Ezekiel.kanampiu@gmail.com,1989-01-22,M,Nairobi,Kibra,Lindi,"Plot 94, Lane 6, Ruaraka",10-Oct-24,ACTIVE,Nairobi Vocational Training Centre,Hairdressing,Artisan,Completed,Ongoing
VOC-000774,KERUBO NJUGUNA NGANGA,32907135,+25475739346,Kerubo.nganga@gmail.com,1976-08-14,F,Uasin Gishu,Ainabkoi,Kapsoya,"Plot 290, Lane 17, Argwings Kodhek",2025-12-05,ACTIVE,Meru Vocational Centre,Plumbing,Digital,Dropped Out,Not Started
VOC-000775,CHRISTOPHER ADOYO KIVUVA,Not Provided,+25411647559,christopher.kivuva@yahoo.com,1966-07-01,F,Bungoma,Kimilili,Maeni,"Plot 60, Lane 8, Jogoo",18-05-2025,ACTIVE,Nairobi Vocational Training Centre,Catering,Digital,Enrolled,Completed
VOC-000776,AARON WAMALWA,89750628,+25477560245,Aaron.wamalwa@yahoo.com,1993-04-04,F,KAKAMEGA,MATUNGU,NAMAMALI,"Plot 279, Lane 12, Waiyaki",04/10/2024,INACTIVE,Kitale Technical College,Hairdressing,Hospitality,Completed,Certified
VOC-000777,GICHURU KIPKEMBOI,71156898,071587836,gichuru.kipkemboi@yahoo.com,1975-06-24,F,Kiambu,Lari,Nyanduma,"Plot 147, Lane 12, Ngong",07-28-2024,INACTIVE,Kakamega Youth Polytechnic,Tailoring,Technical,In Progress,Ongoing
VOC-000778,ESTHER MUTUNEE,28531242,+25410224870,esther_mutune@hotmail.com,04/03/1989,male,Kiambu,Limuru,Ndeiya,"Plot 83, Lane 1, Kilimani",26-04-2025,I,Kisumu Youth Skills Centre,Electrical,DIGITAL,In Progress,Completed
VOC-000779,SYOKAU OMONDI WEKESA,28156328,+25410986658,Syokau.wekesa@gmail.com,1991-08-01,F,Kisumu,Kisumu East,Manyatta 'B',"Plot 391, Lane 12, Athi River",26-Aug-2025,INACTIVE,Meru Vocational Centre,Electrical,Hospitality,In Progress,Not Started
VOC-000780,MUENI KIPKEMBOI,10632635,+25477386814,Mueni.kipkemboi@gmail.com,1976-03-16,F,Bungoma,Sirisia,Namwela,"Plot 207, Lane 16, Uhuru",26-Apr-23,ACTIVE,Kilifi Institute,Hairdressing,Technical,Completed,Ongoing
VOC-000781,MUGO WANAJLA,66230955,+25475149208,mugo.wanjala@yahoo.com,1994-01-13,F,Kilifi,Kaloleni,Mwanamwinga,"House 230, Argwings Kodhek Road, Thika",2025-12-07,INACTIVE,Nakuru Industrial Training Centre,Automotive,Technical,In Progress,Certified
VOC-000782,MARTHA GAKUNYI MASINDE,19575984,+25478278048,Martha.masinde@hotmail.com,1991-12-07,F,Trans Nzoia,Kiminini,Hospital,"Plot 230, Lane 4, Parklands",05-Apr-25,ACTIVE,Kilifi Institute,Carpentry,Hospitality,In Progress,Ongoing
VOC-000783,JACQUELINE JACQUELINE JEBET,91 339 562,+25473107482,jacqueline.jebet@gmail.com,1967-05-19,M,Mombasa County,Jomvu,N/A,"Plot 34, Lane 3, Kikuyu",2025-11-18,ACTIVE,Kitale Technical College,Graphics Design,Digital,In Progress,Not Started
VOC-000784,KIMANI CHPKWONY,54352810,254 778 645 53,kimani.chepkwony@yahoo.com,1981-08-20,F,Kakamega,Butere,Marama Central,"Plot 119, Lane 18, Kikuyu",06/07/2025,ACTIVE,Kitale Technical College,Tailoring,Hospitality,In Progress,Ongoing
VOC-000785,FAITH MBURU,36397799,+25472740535,faith.mburu@gmail.com,1980-08-04,M,Nairobi,Kibra,Lindi,"House 144, Garden Estate Avenue, Kasarani",2024-10-27,ACTIVE,Kakamega Youth Polytechnic,Tailoring,Digital,Dropped Out,Ongoing
VOC-000786,SYOMBUA KIPKOECH MASINDE,14650569,079 749 253,Syombua.masinde@yahoo.com,1976-09-16,M,Nairobi,Dagoretti South,Uthiru,"House 103, Thika Street, Likoni",10 Jun 2024,ACTIVE,NA,Masonry,Digital,Completed,Certified
VOC-000787,PATRICK KIPROTICH MACHARIA,88619356,+25474704375,Patrick.macharia@gmail.com,1975-11-03,F,Bomet,Konoin,Embomos,"Plot 385, Lane 16, Thika Superhighway",19-12-2024,ACTIVE,Kilifi Institute,Masonry,Artisan,Enrolled,Ongoing
VOC-000788,JAMES OMBATI,59325778,+25475287785,james@yahoo.com,03/12/1980,M,Nakuru,Kuresoi North,Kamara,"Plot 71, Lane 14, Jogoo",2023-11-01,ACTIVE,Nakuru Industrial Training Centre,Metalwork,ARTISAN,Enrolled,Not Started
VOC-000789,TIMOTHY OESKO,30858205,+25471602675,Timothy.oseko@outlook.com,1990-10-18,F,Kisumu,Kisumu East,Nyalenda 'A',"Plot 120, Lane 14, Mugumo",20250421,ACTIVE,Nairobi Vocational Training Centre,Welding,Technical,Completed,Ongoing
VOC-000790,ALEXANDER SOPHIA MASINDE,35976666,+25411737809,amasinde@gmail.com,08-08-1956,MALE,NAKURU,GILGIL,MALEWA WEST,"Plot 376, Ln 18, River Rd",13-08-2024,Inactive,Nakuru Industrial Training Centre,Carpentry,TECHNICAL,Enrolled,Ongoing
